Journal,Pub. Year,Pub. Date,Reviewer,Reviewer Gender,Book,Author,Author Gender,Press,Link
Rattle,13,08.25.2013,Lesley Wheeler,Female,"Lillie Was A Goddess, Lillie Was A Whore",Penelope Scambly Schott,Female,Mayapple Press,http://www.rattle.com/poetry/2013/08/lillie-was-a-goddess-lillie-was-a-whore-by-penelope-scambly-schott/
Rattle,13,09.05.2013,Cameron Conaway,Male,In the Kingdom of the Ditch,Todd Davis,Male,Michigan State University Press,http://www.rattle.com/poetry/2013/09/in-the-kingdom-of-the-ditch-by-todd-davis/
Rattle,13,09.10.2013,Margaret Holley,Female,The Rattling Window,Catherine Staples,Female,The Ashland Poetry Press,http://www.rattle.com/poetry/2013/09/the-rattling-window-by-catherine-staples/
Rattle,13,09.20.2013,Isaiah Vianese,Male,Mules of Love,Ellen Bass,Female,BOA Editions,http://www.rattle.com/poetry/2013/09/mules-of-love-by-ellen-bass/
Rattle,13,09.25.2013,Gregory Loselle,Male,The Body's Physics,Janee Baugher,Female,Tebot Bach,http://www.rattle.com/poetry/2013/09/the-bodys-physics-by-janee-baugher/
Rattle,13,09.30.2013,Michelle Bitting,Female,The Silence Teacher,Robert Peake,Male,Poetry Salzburg,http://www.rattle.com/poetry/2013/09/the-silence-teacher-by-robert-peake/
Valparaiso Poetry Review,12,Fall 2012,Jeremy Telman,Male,Olives,A.E. Stallings,Female,Northwestern University Press,http://www.valpo.edu/vpr/v14n1/v14n1prose/telmanreviewstallingsolives.php
Valparaiso Poetry Review,12,Fall 2012,James Martin Spears,Male,The Water Books,Judith Vollmer,Female,Autumn House Press,http://www.valpo.edu/vpr/v14n1/v14n1prose/spearsreviewvollmer.php
Valparaiso Poetry Review,12,Fall 2012,Paul David Adkins,Male,White Papers,Martha Collins,Female,University of Pittsburgh Press,http://www.valpo.edu/vpr/v14n1/v14n1prose/adkinsreviewcollins.php
Valparaiso Poetry Review,12,Fall 2012,Joan Siegel,Female,Traction,Mary Makofske,Female,Ashland Poetry Press,http://www.valpo.edu/vpr/v14n1/v14n1prose/siegelreviewmakofske.php
Valparaiso Poetry Review,12,Fall 2012,Lori Desrosiers,Female,Wild in the Plaza of Memory,Pamela Uschuk,Female,Wings Press,http://www.valpo.edu/vpr/v14n1/v14n1prose/desrosiersreviewuschuk.php
Valparaiso Poetry Review,12,Summer 2012,Janet McCann,Female,Evensong,Ingrid Wendt,Female,Truman State University Press,http://www.valpo.edu/vpr/v13n2/v13n2prose/mccannreviewwendt.php
Valparaiso Poetry Review,12,Summer 2012,Paul David Adkins,Male,Tongue,Rachel Contreni Flynn,Female,Red Hen Press,http://www.valpo.edu/vpr/v13n2/v13n2prose/adkinsreviewflynn.php
Valparaiso Poetry Review,12,Summer 2012,Jeremy Telman,Male,Nevertheless,Wendy Videlock,Female,Able Muse Press,http://www.valpo.edu/vpr/v13n2/v13n2prose/telmanreviewvidelock.php
Valparaiso Poetry Review,13,Summer 2013,Catherine Meeks,Female,Dream Cabinet,Ann Fisher-Wirth,Female,Wings Press,http://www.valpo.edu/vpr/v14n2/v14n2prose/meeksreview.php
Valparaiso Poetry Review,13,Summer 2013,Paul David Adkins,Male,Monkey Ranch,Julie Bruck,Female,Brick Books,http://www.valpo.edu/vpr/v14n2/v14n2prose/adkins.php
